f	cp_y	cp_x
0	0	0
0.17	0	0
0.34	0	0
0.51	0	0
0.68	0	0
0.85	0	0
1.02	0	0
1.19	0	0
1.36	0	0
1.53	0	0.002
1.7	0	0.009
1.87	0	0.025
2.04	0	0.094
2.21	0	0.268
2.38	0	0.521
2.55	0	0.776
2.72	0	0.918
2.89	0.006	0.979
3.06	0.016	0.995
3.23	0.036	1
3.4	0.073	1
3.57	0.108	1
3.74	0.141	1
3.91	0.162	1
4.08	0.164	1
4.25	0.143	1
4.42	0.11	1
4.59	0.073	1
4.76	0.041	1
4.93	0.017	0.996
5.1	0.006	0.982
5.27	0	0.928
5.44	0	0.784
5.61	0	0.536
5.78	0	0.284
5.95	0	0.104
6.12	0	0.027
6.29	0	0.009
6.46	0	0.003
6.63	0	0
6.8	0	0
6.97	0	0
7.14	0	0
7.31	0	0
7.48	0	0
7.65	0	0
