f	pp
0	0.00609375
0.17	0.007585
0.34	0.0093075
0.51	0.0114812
0.68	0.0139669
0.85	0.0169788
1.02	0.0208831
1.19	0.0257675
1.36	0.0317838
1.53	0.040195
1.7	0.0507287
1.87	0.0636244
2.04	0.0819894
2.21	0.106656
2.38	0.139783
2.55	0.179701
2.72	0.229094
2.89	0.286049
3.06	0.343917
3.23	0.40344
3.4	0.454648
3.57	0.498787
3.74	0.529314
3.91	0.54424
4.08	0.545378
4.25	0.530888
4.42	0.501727
4.59	0.457084
4.76	0.407424
4.93	0.347396
5.1	0.289417
5.27	0.231836
5.44	0.181659
5.61	0.142034
5.78	0.108299
5.95	0.083635
6.12	0.0645756
6.29	0.0514794
6.46	0.0408325
6.63	0.0322475
6.8	0.0260644
6.97	0.0211131
7.14	0.0172406
7.31	0.0141762
7.48	0.011595
7.65	0.0094175
