p	cp_y	cp_x
0	0	0
0.02	0	0
0.04	0	0
0.06	0	0
0.08	0	0
0.1	0	0
0.12	0	0
0.14	0	0
0.16	0	0
0.18	0	0
0.2	0	0
0.22	0	0
0.24	0	0
0.26	0	0
0.28	0	0
0.3	0	0
0.32	0	0
0.34	0	0
0.36	0	0
0.38	0	0
0.4	0	0.001
0.42	0.004	0.006
0.44	0.033	0.035
0.46	0.101	0.088
0.48	0.283	0.245
0.5	0.515	0.509
0.52	0.725	0.739
0.54	0.9	0.897
0.56	0.98	0.971
0.58	0.998	0.993
0.6	0.999	0.999
0.62	0.999	1
0.64	1	1
0.66	1	1
0.68	1	1
0.7	1	1
0.72	1	1
0.74	1	1
0.76	1	1
0.78	1	1
0.8	1	1
0.82	1	1
0.84	1	1
0.86	1	1
0.88	1	1
0.9	1	1
0.92	1	1
0.94	1	1
0.96	1	1
0.98	1	1
1	1	1
