f	cp_y	cp_x
0	0	0
0.17	0	0
0.34	0	0
0.51	0	0
0.68	0	0.001
0.85	0	0.007
1.02	0.001	0.035
1.19	0.003	0.138
1.36	0.015	0.365
1.53	0.032	0.687
1.7	0.12	0.912
1.87	0.265	0.993
2.04	0.434	0.999
2.21	0.62	1
2.38	0.773	1
2.55	0.874	1
2.72	0.921	1
2.89	0.956	1
3.06	0.975	1
3.23	0.983	1
3.4	0.991	1
3.57	0.992	1
3.74	0.994	1
3.91	0.994	1
4.08	0.994	1
4.25	0.994	1
4.42	0.992	1
4.59	0.991	1
4.76	0.985	1
4.93	0.978	1
5.1	0.956	1
5.27	0.926	1
5.44	0.878	1
5.61	0.778	1
5.78	0.632	1
5.95	0.447	0.999
6.12	0.275	0.995
6.29	0.124	0.916
6.46	0.036	0.706
6.63	0.015	0.382
6.8	0.004	0.15
6.97	0.001	0.036
7.14	0	0.008
7.31	0	0.001
7.48	0	0
7.65	0	0
7.82	0	0
7.99	0	0
8.16	0	0
8.33	0	0
8.5	0	0
