p	pp
0	0.000976562
0.02	0.00295996
0.04	0.00369434
0.06	0.00448047
0.08	0.00525781
0.1	0.00620801
0.12	0.00715723
0.14	0.00829883
0.16	0.00955664
0.18	0.0109141
0.2	0.0125889
0.22	0.0146855
0.24	0.0169287
0.26	0.019752
0.28	0.0235801
0.3	0.0280332
0.32	0.0336689
0.34	0.0411348
0.36	0.0512188
0.38	0.0651855
0.4	0.0850996
0.42	0.113264
0.44	0.155812
0.46	0.220609
0.48	0.316835
0.5	0.435131
0.52	0.561658
0.54	0.68724
0.56	0.784403
0.58	0.845903
0.6	0.883393
0.62	0.909321
0.64	0.927811
0.66	0.941231
0.68	0.951745
0.7	0.959951
0.72	0.96652
0.74	0.971826
0.76	0.976137
0.78	0.979782
0.8	0.982775
0.82	0.98525
0.84	0.987493
0.86	0.989325
0.88	0.99102
0.9	0.992505
0.92	0.993938
0.94	0.99525
0.96	0.996491
0.98	0.997757
1	0.999023
