f	pp
0	0.0131037
0.17	0.0171281
0.34	0.0223063
0.51	0.029235
0.68	0.0395694
0.85	0.0543919
1.02	0.0767419
1.19	0.113029
1.36	0.171258
1.53	0.259954
1.7	0.38843
1.87	0.54472
2.04	0.686074
2.21	0.79402
2.38	0.862474
2.55	0.910668
2.72	0.937504
2.89	0.953816
3.06	0.964583
3.23	0.971947
3.4	0.97592
3.57	0.978648
3.74	0.980312
3.91	0.980971
4.08	0.980979
4.25	0.980358
4.42	0.978731
4.59	0.976082
4.76	0.972192
4.93	0.965044
5.1	0.954473
5.27	0.939074
5.44	0.912904
5.61	0.865506
5.78	0.799737
5.95	0.693522
6.12	0.554234
6.29	0.396029
6.46	0.266803
6.63	0.174972
6.8	0.115699
6.97	0.078395
7.14	0.0555056
7.31	0.0403344
7.48	0.0296919
7.65	0.0225775
7.82	0.0174569
7.99	0.0133487
8.16	0.0102775
8.33	0.007665
8.5	0.00549562
